Division (Group),Team Name,Discord of 1st Contact,Discord of 2nd Contact,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,School,Updated as of:,10/2/2023
5.3,UNM Splatoon,beansenpai.,,BeanSenpai#1199,Yelow#1512,χ→© ♪XΞMØ#1985,KK Arter#1063,Goteem#9733,Melody#2505,,,University of New Mexico,,
5.3,[DPU] SeaFrames,finchbewitched,,Merfairy#3279,persona#2646,sharkie!!#8247,Big Rat #1664,soupysoup #2725,Zoloft#1512,,,DePaul University,,
5.3,Bull Sharks,inker2,,inker2-ST#6738,benadryl#1398,Eseronai#1679,Starry Sam#2718,Melon Lord#3114,Munasiri29#1254,Gibayyyy!!#2463,,University of South Florida,,
5.3,Palette,puffertron,,アuffertron#2417,Cath#7801,roe roe#2904,Shiro#1967,☆ZETA☆#2083,Ccrobat#1789,Adrenamite#3146,,Algonquin College,,
5.4,Ink Raiders (Bravo),ac_drift,,AC Drift#2709,ColeAurion#2631,SgtKong#3014,Lumi#2340,Crummy#3603,,,,Middle Tennessee State University,,
5.4,High Rollers,malakazam,,Malakazam#2745,さくさくさくま#1619,Shumpei#6013,Nebbu#9213,blu#3399,,,,New York University,,
5.4,Cosmonautilus,oshawatt12,,【¤】gelli#3316,【¤】Jubs#1017,Trueblue#8711,[ø]Cherful#1081,Zenith#3173,,,,Utah Technical University,,
5.4,Sporty Bobble Hat Gang,sephagus,,Sephagus#8655,Łuciƒish#2800,Nobuko#6085,Booyahguy0#4051,Victory#1017,,,,West Virginia University,,
5.4,Towson Tigerfish,tigerqueen_khai,,Khai#1729,TF★Cobalon#3031,Clrnt Duck#9844,Erikbound#3238,Pastry#2768,Kjmx3#2302,,,Towson University,,
5.4,Villanova Splatoon,Rober#0258,,Rober#1920,Rasta#9337,EstrgnBrgr#2063,BlazingDan#1317,,,,,Villanova University,,
6.1,Buy One Get One Free,squawylaous,,Squawylaou#2464,macaroni#1029,(•▿•)♪#4072,beesh#2956,legotechno#3007,,,,University of Houston,,
6.1,Splatoon Gold,chillinngamingyt,,ChLNGamnYT#2846,Cat Nat#3191,Videogamer#3318,Tenebris#8123,goombas :3#5270,quevo#4325,,,Missouri University of Science & Technology,,
6.1,Spoon,allie2700,,Aph.party#1921,AgentWill#2076,SirMajesty#6373,Logan#2335,»-Greyyex→#4732,,,,Kutztown University,,
6.1,Gator Eats Squid,randomnou,,Random#6239,Laryyy#6023,Irrawaddy#3306,Mirii♪°*#1850,,,,,University Of Florida,,
6.1,Crimson Tide Squad,reemerd,,Snazzers#2419,Beastmode#3248,Jolyne#8956,MrH5#2075,eddy#2545,junkyard:3#6102,,,New Mexico State University,,
6.1,Jellynose Calamari,heco613,,Henry#2600,Ais#1974,Clover#2961,klorito#2428,,,,,Juniata College,,
6.2,Disciples of Cod,treehousecity,,pepper#3604,SIMON SAYS#9866,☆Gatekeep☆#2688,LocalIdiot#2653,pancake#3265,,,,Kutztown University,,
6.2,Titans of Alterna (Blue),Cherriems,,Cherriems#1815,PJ#1672,Bxllacvlt#3089,T∀☆Lazarus#2834,LuckyPKL#4981,,,,California State University Fullerton,,
6.2,Sun God Squad,floofypup,,Floofypup#8369,spagheti#2704,Cozmo#2474,IBA#2276,anjimito<3#1763,,,,"University of California, San Diego",,
6.2,UGA Red,hautheory,,HT#3107,<-ember->#1960,☆Luxitone★#2264,CrunchyCM#1900,Samtwo#1380,,,,University of Georgia,,
6.2,Splatoon Team Scarlet,el_ryano,,El Ryano#4640,Derp#2101,SillyWilly#1263,Weedy#2571,,,,,Arkansas State University,,
6.2,The TableTerp Troupe,jinger.jin.,,Jin<3#2625,splatjack!#1801,Sneaky#2578,shmeh#1036,,,,,University of Maryland College park,,
6.3,U of A Axion Splatters,dimplesrme,,Dimples#3222,Tynan#2385,∞☆hellm★∞#2157,PX'Gentoxc#2642,La0xiu#9737,Jacky161#1161,Leigh#1435,PX'DrnkApl#8783,University of Alberta,,
6.3,Grizzco Gators,bepsiboii,,GG | Bepsi#2867,GG| Akarii#5804,headache#2265,GG| syl.#1902,,,,,University of Florida,,
